name,hand
hu826751,Right
hu3DC5EA,Right
hu0D1FA1,Right
huAEADC0,Right
hu2D6140,Right
hu4BF398,Right
hu2C1D94,Left
huB1FD55,Right
hu60180F,Right
huDE435D,Left
huA05317,Right
hu6C733E,Right
huDBF9DD,Right
hu034DB1,Right
hu0E64A1,Right
hu627574,Left
hu7123C1,Right
huC14AE1,Right
hu76CAA5,Right
huF83462,Left
huC5733C,Right
hu5962F5,Right
huF80F84,Right
hu04F220,Right
huDBD591,Right
hu599905,Right
hu3CAB43,Right
hu5E55F5,Right
hu26B551,Right
hu5CD2C6,Left
huA4E2CF,Right
hu3C0611,Right
huE9B698,Right
huEC6EEC,Right
hu67EBB3,Right
hu8E2A35,Right
huB4940E,Right
hu620F18,Right
hu602487,Right
huF1DC30,Right
hu4CA5B9,Right
huD3A569,Right
hu43860C,Right
hu4BE6F2,Right
huB1488D,Right
huED0F40,Right
hu24C863,Right
hu49F623,Right
huD81F3D,Right
huC434ED,Right
huEDF7DA,Right
hu4040B8,Right
huCBDC6D,Right
huD649F1,Right
hu925B56,Right
hu016B28,Right
hu79F922,Right
huF160AA,Right
hu4FE0D1,Left
hu52B7E5,Right
hu9E6329,Right
huAFA81C,Right
huD09534,Both equally well
huFE71F3,Right
hu7A2F1D,Right
huC92BC9,Right
hu955EE1,Right
hu868880,Right
hu60AB7C,Right
hu470099,Right
hu1187FF,Right
huA49E22,Right
hu448C4B,Left
hu72C17A,Right
hu05FD49,Right
huF5E0B6,Right
hu1F73AB,Right
hu2DBF2D,Right
hu0211D6,Right
hu0E7AAF,Right
hu040C0A,Right
hu2FEC01,Right
